Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Param_Std                
350                      4.489238607949681        70200000.0               355.9743126129978        1000.0                   32                       331.842204860784         1000.0                   200                      0.15489520132541656      
360                      4.617889906234211        72200000.0               350.45682125715575       1000.0                   32                       332.57352726214816       1000.0                   200                      0.15930742025375366      
370                      4.746520970596207        74200000.0               346.85412660383645       1000.0                   32                       340.270055087865         1000.0                   200                      0.15550871193408966      
380                      4.87517475075192         76200000.0               343.2839509200403        1000.0                   32                       338.6418961101418        1000.0                   200                      0.1612538993358612       
390                      5.0038423332240844       78200000.0               355.5008449571618        1000.0                   32                       330.33438183517035       1000.0                   200                      0.16876521706581116      
400                      5.132363038394186        80200000.0               355.0162000741849        1000.0                   32                       338.0932350095727        1000.0                   200                      0.16664135456085205      
410                      5.261035614212354        82200000.0               346.20035865185037       1000.0                   32                       341.0452440906108        1000.0                   200                      0.17436838150024414      
420                      5.38982454419136         84200000.0               361.296086131676         1000.0                   32                       345.7591532927976        1000.0                   200                      0.17071160674095154      
430                      5.518599639998542        86200000.0               374.09875222157393       1000.0                   32                       348.588253617262         1000.0                   200                      0.16777406632900238      
440                      5.647103548182382        88200000.0               365.32399455873656       1000.0                   32                       337.7369324069312        1000.0                   200                      0.16980120539665222      
450                      5.7756683421134944       90200000.0               354.9219575785711        1000.0                   32                       340.34096013831993       1000.0                   200                      0.16975213587284088      
460                      5.904325972861714        92200000.0               372.04331077722713       1000.0                   32                       348.46347046925894       1000.0                   200                      0.16969911754131317      
470                      6.032927408946885        94200000.0               368.5663357887288        1000.0                   32                       355.31164807404764       1000.0                   200                      0.1677018105983734       
480                      6.1615236019425925       96200000.0               362.2359991015643        1000.0                   32                       353.647573937236         1000.0                   200                      0.17045213282108307      
490                      6.29010996500651         98200000.0               352.2421436291411        1000.0                   32                       362.5975432509237        1000.0                   200                      0.17375260591506958      
